Genre,Precision,Recall,F1-Score,Support
blues,0.5217391304347826,0.6,0.5581395348837209,20.0
classical,0.7037037037037037,0.95,0.8085106382978723,20.0
country,0.4074074074074074,0.55,0.46808510638297873,20.0
disco,0.4090909090909091,0.45,0.42857142857142855,20.0
hiphop,0.6111111111111112,0.55,0.5789473684210527,20.0
jazz,0.55,0.55,0.55,20.0
metal,0.75,0.75,0.75,20.0
pop,0.5882352941176471,0.5,0.5405405405405406,20.0
reggae,0.5882352941176471,0.5,0.5405405405405406,20.0
rock,0.7777777777777778,0.35,0.4827586206896552,20.0
